Brand,CPU,RAM,Width,SSD,Price
lenovo,Intel Celeron,4.0,15.6,256.0,132223
apple,Apple M1,8.0,13.3,256.0,383967
apple,Apple M1,8.0,13.3,256.0,391560
chuwi,Intel N100,8.0,14.1,256.0,119987
apple,Apple M1,8.0,13.3,256.0,393996
chuwi,Intel Celeron,8.0,14.1,256.0,98988
asus,Intel Core i5,16.0,15.6,512.0,399089
huawei,Intel Core i3,8.0,14.0,256.0,207845
hp,AMD Ryzen 5,8.0,15.6,512.0,209990
asus,Intel Core i5,16.0,15.6,512.0,257900
acer,Intel Celeron,4.0,15.6,256.0,223928
apple,Apple M1,8.0,13.3,256.0,399953
apple,Apple M1,8.0,13.3,256.0,407366
asus,Intel Core i5,16.0,15.6,512.0,388990
chuwi,Intel N100,16.0,15.6,512.0,159990
apple,Apple M3,18.0,14.2,512.0,972840
oyan,Intel Celeron,8.0,14.1,512.0,127500
lenovo,Intel Core i7,16.0,16.0,1000.0,719000
acer,Intel Celeron,4.0,11.6,64.0,99900
lenovo,AMD Athlon,8.0,14.0,128.0,181000
apple,Apple M1,16.0,16.2,512.0,927721
apple,Apple M2,8.0,13.3,512.0,663053
apple,Apple M2,8.0,13.3,256.0,579255
apple,,8.0,13.6,256.0,508681
apple,Apple M2,8.0,13.6,256.0,509257
apple,Apple M2,8.0,13.6,256.0,514653
apple,Apple M2,16.0,16.2,512.0,1090609
apple,Apple M2,8.0,15.3,512.0,676953
apple,Apple M2,8.0,15.3,256.0,578900
apple,Apple M2,8.0,15.3,256.0,578006
lenovo,Intel Celeron,4.0,15.6,256.0,128500
asus,Intel Core i5,16.0,15.6,512.0,249990
lenovo,Intel Core i5,8.0,15.6,512.0,227090
lenovo,Intel Core i5,8.0,15.6,512.0,251075
lenovo,,16.0,15.6,512.0,429900
lenovo,Intel Core i3,8.0,15.6,512.0,219000
acer,AMD Ryzen 7,16.0,16.0,1024.0,599990
acer,Intel Pentium,8.0,15.6,256.0,222989
apple,Apple M3,18.0,14.2,512.0,974079
apple,Apple M3,36.0,16.2,512.0,1358539
hydra,Intel Celeron,12.0,15.6,512.0,109990
huawei,Intel Core i5,8.0,16.0,512.0,288989
huawei,Intel Core i5,16.0,16.0,512.0,319142
gigabyte,Intel Core i7,16.0,15.6,1000.0,647988
acer,Intel Core i5,16.0,15.6,512.0,367825
huawei,,8.0,16.0,512.0,229579
acer,Intel Core i5,16.0,15.6,512.0,379900
acer,Intel Core i5,16.0,15.6,512.0,359910
acer,,8.0,15.6,512.0,289990
huawei,Intel Core i3,8.0,16.0,512.0,229886
oyan,Intel N100,16.0,15.6,512.0,166500
chuwi,Intel Core i5,16.0,14.0,512.0,209990
asus,AMD Ryzen 5,16.0,15.6,512.0,479990
asus,Intel Core i5,16.0,17.3,512.0,417542
hydra,Intel Pentium,12.0,15.6,512.0,119990
asus,Intel Core i3,8.0,15.6,512.0,189990
asus,AMD Ryzen 5,16.0,15.6,512.0,374990
aspire,Intel N100,8.0,14.0,256.0,139980
neyro,Intel N95,16.0,15.6,512.0,169000
chuwi,Intel Celeron,8.0,15.6,256.0,99990
yepo,Intel Core i7,8.0,15.6,512.0,189990
lenovo,Intel Core i5,16.0,15.6,1000.0,278217
acer,Intel Core i5,8.0,15.6,512.0,322990
asus,Intel Core i7,16.0,15.6,1000.0,299990
asus,AMD Ryzen 5,16.0,15.6,512.0,428990
asus,Intel Core i7,16.0,15.6,1024.0,289990
apple,Apple M2,8.0,13.6,256.0,499538
hp,Intel Core i3,8.0,15.6,512.0,197446
hp,Intel Core i5,16.0,15.6,512.0,383990
yepo,Intel N95,16.0,15.6,512.0,179000
apple,Apple M3,18.0,14.2,1000.0,1199988
apple,Apple M3,18.0,16.2,512.0,1203927
zentek,Intel N95,16.0,15.6,512.0,240000
hp,Intel Core i5,8.0,15.6,512.0,269895
lenovo,Intel Core i5,16.0,15.6,512.0,259790
chuwi,Intel N100,12.0,10.51,512.0,194987
lenovo,Intel Core i3,8.0,15.6,512.0,218985
asus,AMD Ryzen 7,16.0,16.0,512.0,289890
apple,,8.0,15.3,512.0,676953
chuwi,Intel Celeron,8.0,14.0,256.0,88990
acer,Intel Core i5,16.0,15.6,512.0,299990
asus,AMD Ryzen 3,8.0,15.6,512.0,212336
acer,,16.0,15.6,512.0,309990
huawei,Intel Core i5,16.0,14.0,512.0,308960
lenovo,AMD Athlon,8.0,15.6,256.0,159500
asus,Intel Core i7,16.0,16.0,1024.0,708990
asus,Intel Core i7,16.0,15.6,1000.0,659990
apple,Apple M2,8.0,15.3,512.0,679087
apple,Apple M2,8.0,15.3,256.0,579784
lenovo,Intel Core i3,8.0,15.6,512.0,234568
asus,AMD Ryzen 5,16.0,15.6,512.0,432247
acer,Intel Core i5,16.0,15.6,512.0,247990
apple,Apple M3,36.0,14.2,1024.0,1646890
hp,Intel Core i3,8.0,15.6,512.0,189271
hp,Intel Celeron,8.0,15.6,256.0,154914
huawei,Intel Core i5,8.0,16.0,512.0,289590
lenovo,Intel Core i5,16.0,15.6,512.0,278999
acer,Intel Core i5,8.0,15.6,512.0,390000
lenovo,AMD Ryzen 3,8.0,15.6,512.0,184570
lenovo,AMD Ryzen 5,16.0,15.6,512.0,259513
huawei,Intel Core i5,8.0,14.0,512.0,267980
asus,Intel Core i3,8.0,15.6,512.0,197421
asus,AMD Ryzen 5,16.0,15.6,512.0,358364
huawei,Intel Core i5,16.0,14.0,512.0,308989
asus,AMD Ryzen 5,16.0,15.6,512.0,348980
apple,Apple M3,8.0,13.6,256.0,659900
neyro,Intel Core i7,16.0,15.6,512.0,299000
lenovo,Intel Core i3,8.0,15.6,256.0,226465
lenovo,Intel Core i3,8.0,14.0,512.0,191500
lenovo,Intel Celeron,4.0,15.6,256.0,130000
asus,Intel Core i5,16.0,15.6,512.0,404000
lenovo,Intel Pentium,8.0,15.6,256.0,175000
apple,Apple M2,8.0,15.3,256.0,569440
apple,Apple M3,18.0,16.2,512.0,1204898
apple,Apple M3,8.0,14.2,512.0,765100
apple,Apple M3,8.0,14.2,512.0,763344
huawei,Intel Core i5,16.0,16.0,512.0,319590
lenovo,Intel Celeron,4.0,15.6,256.0,129894
acer,Intel Core i3,8.0,14.0,512.0,169990
asus,Intel Core i7,16.0,18.0,1000.0,815299
asus,AMD Ryzen 5,16.0,17.3,1024.0,522014
hp,AMD Ryzen 5,8.0,15.6,512.0,259000
lenovo,Intel Core i5,8.0,15.6,512.0,278997
lenovo,Intel Core i3,8.0,15.6,512.0,198989
asus,AMD Ryzen 7,16.0,15.6,512.0,498990
acer,Intel Core i7,16.0,15.6,512.0,419990
apple,Apple M3,36.0,16.2,1024.0,1792725
acer,Intel Core i7,32.0,15.6,512.0,489510
asus,AMD Ryzen 7,16.0,15.6,512.0,579990
asus,Intel Core i9,16.0,18.0,1000.0,1099990
gigabyte,Intel Core i7,16.0,15.6,1000.0,479990
hydra,Intel Core i7,16.0,15.6,512.0,199990
vivobook,AMD Ryzen 5,8.0,15.6,512.0,234990
adreamer,Intel Core i7,16.0,15.6,512.0,149990
chuwi,Intel N100,8.0,15.6,256.0,138990
asus,Intel Core Ultra 5 125H,16.0,14.0,1000.0,459990
zentek,Intel Celeron,16.0,15.6,512.0,220000
zentek,AMD Ryzen 7,16.0,16.0,1024.0,390000
yepo,Intel N95,16.0,14.1,512.0,259990
asus,AMD Ryzen 5,16.0,15.6,512.0,228990
asus,Intel Core i7,24.0,15.6,1000.0,399000
acer,Intel Core i3,8.0,14.0,512.0,229000
apple,Apple M3,8.0,13.6,512.0,779900
lenovo,Intel Core i5,16.0,15.6,512.0,449990
asus,Intel Core i5,48.0,16.0,2000.0,699000
hp,AMD Ryzen 5,8.0,15.6,512.0,199990
asus,Intel Core i5,16.0,17.3,1024.0,519000
apple,Apple M1,8.0,13.3,256.0,437950
lenovo,Intel Core i3,4.0,15.6,1024.0,249990
apple,Apple M1,16.0,16.2,1024.0,955838
lenovo,Intel Celeron,4.0,15.6,128.0,150339
chuwi,Intel N100,12.0,13.5,512.0,399990
apple,Apple M2,8.0,13.6,512.0,660000
apple,Apple M2,8.0,13.6,512.0,639748
hp,Intel Core i3,8.0,15.6,512.0,229000
hp,Intel Core i5,8.0,15.6,512.0,289990
lenovo,Intel Core i3,8.0,15.6,512.0,194000
xiaomi,Intel Core i3,8.0,15.6,256.0,178911
hp,Intel Core i5,16.0,15.6,512.0,478674
asus,AMD Ryzen 7,16.0,15.6,512.0,479990
asus,AMD Ryzen 5,8.0,15.6,512.0,279989
asus,Intel Core i5,8.0,15.6,512.0,289990
asus,,8.0,17.3,512.0,229890
hp,Intel Core i3,8.0,14.0,512.0,239990
asus,Intel Core i3,8.0,15.6,512.0,219000
acer,Intel Core i5,16.0,14.0,512.0,279990
acer,Intel Core i5,8.0,14.0,512.0,281275
acer,AMD Ryzen 5,16.0,15.6,512.0,564980
huawei,Intel Core i5,8.0,15.6,256.0,280000
asus,Intel Core i5,16.0,17.3,512.0,383989
acer,AMD Ryzen 7,16.0,16.0,512.0,509990
acer,Intel Core i5,16.0,15.6,512.0,346567
asus,Intel Core i5,8.0,16.0,512.0,368990
huawei,Intel Core i5,16.0,16.0,512.0,348949
lenovo,Intel Core i3,8.0,15.6,256.0,192929
lenovo,Intel Core i7,16.0,15.6,1000.0,644990
asus,Intel Core i3,8.0,15.6,256.0,159990
lenovo,AMD Ryzen 5,16.0,15.6,256.0,208399
asus,Intel Core i5,16.0,17.3,1000.0,449000
lenovo,Intel Core i3,8.0,15.6,512.0,184280
acer,AMD Ryzen 7,16.0,15.6,512.0,229379
chuwi,Intel Core i3,8.0,15.6,512.0,169990
asus,Intel Core i7,16.0,16.0,1000.0,649990
acer,Intel Core i5,8.0,15.6,512.0,371780
apple,Apple M3,8.0,13.6,256.0,602698
yerview,Intel Celeron,8.0,14.0,512.0,108000
acer,Intel Core i5,16.0,15.6,1000.0,399000
noutbuk,Intel Core i5,16.0,15.6,512.0,199990
apple,Apple M3,8.0,15.3,256.0,728942
asus,Intel Core i5,16.0,15.6,512.0,310720
lenovo,Intel Celeron,4.0,15.6,1000.0,173567
lenovo,Intel Celeron,4.0,14.0,128.0,149079
lenovo,Intel Celeron,4.0,15.6,1024.0,164101
hp,AMD Ryzen 5,8.0,15.6,512.0,259000
lenovo,Intel Core i3,8.0,14.0,256.0,189000
hp,AMD Ryzen 5,8.0,15.6,512.0,259000
huawei,Intel Core i5,8.0,15.6,256.0,259990
apple,Apple M2,8.0,13.3,256.0,592676
lenovo,AMD Ryzen 3,8.0,15.6,1000.0,203987
apple,Apple M2,8.0,13.6,512.0,663756
acer,Intel Core i5,16.0,15.6,512.0,308337
acer,Intel Core i5,8.0,15.6,512.0,489995
acer,Intel Core i7,8.0,15.6,512.0,497764
lenovo,AMD Athlon,8.0,15.6,256.0,169990
acer,AMD Ryzen 7,24.0,15.6,1000.0,999970
asus,Intel Core i5,8.0,15.6,512.0,299999
acer,Intel Pentium,8.0,15.6,256.0,246911
acer,AMD Ryzen 3,8.0,15.6,512.0,199990
acer,Intel Core i5,16.0,15.6,512.0,439786
apple,Apple M2,16.0,16.2,512.0,1111613
asus,Intel Core i7,16.0,15.6,1024.0,589989
asus,AMD Ryzen 9,32.0,16.0,2000.0,2329960
acer,,8.0,15.6,512.0,248786
great,Intel Celeron,16.0,15.6,512.0,152800
yepo,Intel Core i7,16.0,15.6,512.0,309990
acer,Intel Core i5,16.0,14.0,512.0,279990
asus,Intel Core i7,16.0,15.6,1000.0,663290
noutbuk,AMD Ryzen 3,8.0,14.0,256.0,220780
asus,AMD Ryzen 7,16.0,15.6,512.0,494888
asus,AMD Ryzen 3,8.0,14.0,256.0,194990
hp,Intel Core i7,16.0,16.1,1024.0,814980
lenovo,Intel Core i5,16.0,15.6,512.0,437990
acer,Intel Celeron,4.0,15.6,128.0,226999
acer,AMD Ryzen 3,8.0,15.6,500.0,167700
asus,Intel Core i7,16.0,15.6,1024.0,569990
acer,Intel Core i5,16.0,15.6,512.0,232131
asus,Intel Core i3,8.0,15.6,512.0,199990
lenovo,AMD Ryzen 3,8.0,15.6,512.0,185978
asus,Intel Core i3,8.0,15.6,256.0,198990
ardor,Intel Core i5,16.0,17.3,512.0,640413
acer,Intel Core i3,8.0,15.6,256.0,209000
acer,Intel Core i5,16.0,15.6,512.0,482895
apple,Apple M2,8.0,13.6,256.0,570000
lenovo,Intel Core i5,8.0,15.6,512.0,364990
asus,Intel Core i7,16.0,15.6,512.0,539833
apple,Apple M3,18.0,14.2,1024.0,1209054
apple,,8.0,15.3,512.0,682780
apple,Apple M3,48.0,16.2,1024.0,2019809
apple,Apple M3,8.0,14.2,1024.0,810200
apple,Apple M3,8.0,14.2,1024.0,805593
chuwi,Intel N100,8.0,15.6,256.0,139988
dell,Intel Core i5,8.0,15.6,512.0,241590
hp,AMD Ryzen 5,16.0,15.6,512.0,380040
asus,Intel Core i5,16.0,16.0,512.0,568899
asus,Intel Core i9,32.0,18.0,1000.0,1499990
lenovo,Intel Core i3,8.0,15.6,512.0,208970
asus,,16.0,16.0,1000.0,559000
asus,Intel Core i3,8.0,15.6,512.0,229890
asus,,8.0,15.6,512.0,239990
acer,,8.0,15.6,512.0,236890
acer,,16.0,15.6,512.0,249816
acer,Intel Core i3,8.0,15.6,512.0,229072
acer,,16.0,15.6,512.0,208980
huawei,Intel Core i7,16.0,16.0,1024.0,459870
huawei,Intel Core i9,16.0,16.0,1024.0,499570
asus,AMD Ryzen 9,16.0,16.0,1024.0,737969
honor,Intel Core i5,16.0,16.0,512.0,299885
lenovo,Intel Core i7,32.0,16.0,1000.0,868405
lenovo,AMD Ryzen 5,16.0,15.6,512.0,229990
thunderobot,Intel Core i5,16.0,15.6,512.0,479990
gigabyte,Intel Core i7,16.0,17.3,1000.0,836989
acer,Intel Core i7,16.0,15.6,512.0,369990
asus,Intel Core i7,16.0,17.3,1000.0,359990
thunderobot,Intel Core i5,16.0,15.6,512.0,389990
asus,Intel Core Ultra 7,16.0,16.0,1024.0,898000
asus,AMD Ryzen 5,8.0,16.0,512.0,224990
asus,Intel Core Ultra 7,16.0,14.0,1000.0,799900
asus,AMD Ryzen 7,16.0,15.6,1000.0,699990
castom,Intel Celeron,16.0,15.6,512.0,139800
acer,AMD Ryzen 7,16.0,15.6,1000.0,299000
msi,Intel Core i7,16.0,15.6,1024.0,698124
qere,Intel Celeron,16.0,15.6,512.0,178989
asus,Intel Core i7,32.0,15.6,1000.0,699000
msi,Intel Core i5,16.0,15.6,512.0,454580
asus,Intel Core i7,16.0,16.0,1024.0,950550
apple,Apple M3,16.0,13.6,512.0,918321
lenovo,Intel Core i7,16.0,16.0,1024.0,819989
asus,Intel Core i7,16.0,15.6,512.0,549990
acer,Intel N100,8.0,14.0,512.0,199000
asus,Intel Core i5,16.0,15.6,512.0,339990
apple,Apple M3,8.0,15.3,512.0,899000
apple,Apple M3,8.0,15.3,512.0,899980
apple,Apple M3,8.0,13.6,256.0,649990
apple,Apple M3,8.0,13.6,256.0,644860
asus,AMD Ryzen 5,16.0,15.6,512.0,346090
asus,AMD Ryzen 5,16.0,15.6,512.0,439880
zentek,Intel Core i7,20.0,16.0,512.0,370000
apple,Apple M3,8.0,13.0,256.0,645030
lenovo,Intel Core i9,32.0,16.0,1000.0,1129990
asus,Intel Core i5,16.0,16.0,1000.0,599000
zentek,Intel N95,16.0,15.6,512.0,229000
msi,Intel Core i5,16.0,15.6,512.0,484031
asus,Intel Core i5,64.0,17.3,2000.0,649000
asus,Intel Core i5,16.0,15.6,512.0,469000
asus,Intel Core i5,32.0,15.6,2000.0,549000
asus,Intel Core i7,40.0,15.6,2000.0,449000
asus,Intel Core i7,16.0,15.6,512.0,299990
acer,Intel Celeron,4.0,15.6,500.0,156000
lenovo,Intel Core i3,4.0,15.6,1000.0,235990
acer,Intel Core i3,4.0,15.6,256.0,217878
lenovo,Intel Core i3,4.0,15.6,1000.0,298890
hp,AMD Ryzen 5,8.0,15.6,512.0,259000
asus,Intel Core i5,16.0,15.6,512.0,448093
asus,Intel Core i3,8.0,14.0,512.0,449890
hp,AMD Ryzen 3,8.0,15.6,512.0,390000
acer,Intel Core i3,4.0,15.6,1024.0,194860
hp,AMD Athlon,4.0,15.6,128.0,299990
hp,AMD Ryzen 5,8.0,14.0,512.0,383880
lenovo,Intel Core i3,4.0,15.6,1000.0,219000
acer,Intel Core i5,8.0,15.6,512.0,449405
lenovo,Intel Celeron,4.0,15.6,1000.0,168995
lenovo,AMD Ryzen 5,8.0,15.6,256.0,306424
apple,Apple M1,16.0,14.2,512.0,1055990
apple,Apple M1,16.0,16.2,512.0,1060256
leap,Intel Pentium,4.0,11.6,128.0,224989
realme,Intel Core i5,8.0,14.0,512.0,399990
asus,Intel Core i3,8.0,15.6,256.0,234988
asus,Intel Core i5,8.0,15.6,512.0,459980
asus,Intel Core i7,8.0,15.6,512.0,357790
acer,Intel Core i5,8.0,15.6,512.0,437964
asus,Intel Core i5,16.0,17.3,512.0,521358
hp,Intel Core i7,8.0,14.0,256.0,366873
acer,Intel Core i5,8.0,15.6,512.0,344880
lenovo,AMD Ryzen 5,8.0,15.6,512.0,319890
hp,AMD Ryzen 7,16.0,13.0,512.0,689990
apple,Apple M2,8.0,13.6,512.0,650776
hp,Intel Core i5,16.0,16.1,512.0,510790
asus,Intel Core i5,8.0,14.0,512.0,549915
asus,Intel Core i7,16.0,15.6,512.0,629990
lenovo,AMD Ryzen 5,8.0,15.6,512.0,529000
lenovo,Intel Core i3,8.0,15.6,256.0,200000
asus,Intel Core i7,16.0,15.6,1000.0,810790
acer,Intel Core i3,8.0,15.6,512.0,223003
zik,Intel Celeron,8.0,11.6,64.0,110000
asus,Intel Core i5,16.0,15.6,512.0,502000
asus,AMD Ryzen 5,8.0,15.6,512.0,399990
asus,Intel Core i3,8.0,15.6,256.0,238800
