Brand,CPU,RAM,Width,SSD,Price
lenovo,Intel Celeron,4.0,15.6,1000.0,170000
hp,Intel Core i5,8.0,15.6,512.0,499987
acer,Intel Core i3,8.0,14.0,256.0,366084
hp,Intel Core i3,8.0,15.6,512.0,419989
hp,AMD Ryzen 5,8.0,14.0,256.0,289990
asus,Intel Pentium,4.0,15.6,500.0,199990
dell,Intel Core i5,8.0,15.6,256.0,369995
hp,Intel Core i3,4.0,15.6,256.0,249990
qmax,Intel Celeron,4.0,15.6,256.0,117089
neo,Intel Celeron,8.0,15.6,128.0,515000
lenovo,AMD Athlon,4.0,15.6,1024.0,239990
lenovo,Intel Core i3,4.0,14.0,254.0,259990
lenovo,Intel Core i3,8.0,15.0,256.0,240000
lenovo,AMD 3020e,8.0,14.0,256.0,190000
lenovo,Intel Core i3,8.0,15.6,256.0,249990
acer,Intel Pentium,4.0,15.6,1000.0,195030
acer,Intel Core i5,8.0,15.6,512.0,280000
lenovo,Intel Core i3,8.0,15.6,1000.0,262972
lenovo,Intel Core i3,8.0,15.6,512.0,279990
hp,Intel Core i5,4.0,15.6,1000.0,411990
hp,Intel Core i3,4.0,13.3,128.0,349990
lenovo,Intel Core i3,4.0,15.6,256.0,238230
lenovo,AMD Ryzen 5,16.0,15.6,512.0,498457
lenovo,Intel Core i3,8.0,15.6,256.0,229865
lenovo,Intel Core i3,8.0,15.6,512.0,264989
lenovo,Intel Core i3,8.0,15.6,256.0,240000
asus,Intel Core i5,16.0,15.4,512.0,427790
asus,Intel Core i5,16.0,15.6,512.0,501000
dell,Intel Core i5,8.0,14.0,255.0,332430
asus,Intel Core i5,8.0,15.6,512.0,478480
asus,Intel Core i3,8.0,14.0,512.0,399990
asus,Intel Pentium,4.0,14.0,128.0,299990
hp,Intel Core i3,8.0,15.6,256.0,369900
hp,Intel Core i5,8.0,14.0,256.0,319990
lenovo,Intel Core i7,16.0,13.5,1000.0,1550230
asus,Intel Core i3,4.0,15.6,256.0,349990
acer,Intel Core i3,4.0,15.6,256.0,239990
asus,Intel Core i5,16.0,17.3,512.0,549977
hp,Intel Core i3,8.0,14.0,256.0,222000
acer,Intel Pentium,4.0,14.0,256.0,355829
acer,Intel Celeron,4.0,14.0,128.0,239879
hp,AMD Ryzen 3,8.0,15.6,512.0,379990
asus,Intel Core i5,8.0,15.6,512.0,455000
acer,Intel Core i3,8.0,15.6,256.0,284900
asus,Intel Celeron,4.0,14.0,128.0,259990
hp,AMD Ryzen 5,8.0,15.6,512.0,379990
asus,Intel Core i5,16.0,15.6,512.0,449000
dell,AMD Ryzen 5,8.0,15.6,512.0,429990
hp,AMD Ryzen 3,4.0,15.6,512.0,409988
lenovo,AMD Ryzen 7,16.0,16.0,1000.0,887200
acer,Intel Core i3,8.0,15.6,512.0,299990
lenovo,Intel Core i3,8.0,15.6,256.0,251012
hp,AMD Ryzen 3,4.0,15.6,256.0,409999
hp,AMD Ryzen 3,4.0,15.6,512.0,399987
lenovo,Intel Core i3,4.0,15.6,1000.0,269990
hp,AMD Ryzen 3,8.0,15.6,512.0,419990
hp,Intel Core i3,8.0,15.6,512.0,449989
msi,Intel Core i5,16.0,15.6,512.0,483460
msi,Intel Core i5,8.0,15.6,512.0,479900
asus,Intel Core i5,8.0,15.6,512.0,442650
lenovo,Intel Core i3,8.0,15.6,256.0,239063
asus,Intel Core i3,8.0,14.0,256.0,403990
lenovo,Intel Core i5,16.0,15.6,512.0,605990
hp,AMD Ryzen 3,4.0,15.6,512.0,419988
asus,Intel Core i5,8.0,15.6,512.0,449504
asus,Intel Core i5,16.0,15.6,512.0,595990
lenovo,Intel Core i3,4.0,15.6,256.0,309987
hp,Intel Core i7,16.0,15.6,512.0,538671
acer,AMD Ryzen 5,8.0,15.6,512.0,449990
hp,AMD Ryzen 3,4.0,15.6,256.0,409998
lenovo,AMD Ryzen 5,8.0,15.6,512.0,297811
lenovo,Intel Core i5,4.0,15.6,1000.0,399898
asus,Intel Pentium,4.0,14.0,256.0,259470
lenovo,Intel Core i7,16.0,16.0,1000.0,925971
hp,AMD Ryzen 3,4.0,15.6,512.0,380000
lenovo,Intel Core i3,8.0,15.6,256.0,251388
hp,Intel Core i7,8.0,13.3,256.0,549990
lenovo,Intel Core i5,4.0,15.6,1024.0,252990
acer,Intel Core i3,4.0,15.6,1024.0,349990
acer,Intel Core i5,4.0,15.6,256.0,286430
asus,Intel Core i5,16.0,15.6,512.0,488000
lenovo,Intel Core i3,8.0,14.0,256.0,269900
hp,Intel Core i5,8.0,14.0,255.0,309990
acer,Intel Pentium,4.0,14.0,128.0,299990
hp,Intel Core i3,8.0,15.6,512.0,429989
asus,AMD Ryzen 7,16.0,15.6,512.0,700000
asus,Intel Celeron,4.0,15.6,128.0,259990
asus,Intel Core i5,16.0,17.3,512.0,544482
lenovo,Intel Core i5,8.0,15.6,256.0,369299
asus,Intel Core i3,4.0,15.6,1000.0,199990
asus,Intel Core i5,16.0,15.6,512.0,427790
asus,Intel Celeron,4.0,14.0,128.0,259901
acer,AMD Ryzen 3,8.0,15.6,256.0,256255
hp,Intel Core i5,8.0,13.3,256.0,499990
hp,Intel Core i7,8.0,13.3,256.0,549990
hp,Intel Core i3,8.0,14.0,256.0,399990
hp,Intel Core i5,8.0,13.3,512.0,549990
acer,Intel Pentium,4.0,14.0,256.0,269990
asus,AMD Ryzen 7,16.0,14.0,512.0,1019990
hp,Intel Core i5,8.0,13.3,512.0,769990
asus,Intel Core i5,8.0,15.6,512.0,446532
hp,AMD Ryzen 7,16.0,16.1,1000.0,626790
lenovo,Intel Core i3,8.0,15.6,1000.0,228954
asus,Intel Core i5,16.0,15.6,512.0,447790
acer,AMD Ryzen 7,16.0,14.0,512.0,278754
acer,Intel Core i3,4.0,17.3,256.0,259990
acer,Intel Pentium,4.0,15.6,1024.0,209500
asus,Intel Core i5,16.0,17.3,512.0,540765
acer,Intel Core i7,8.0,15.6,512.0,477990
acer,Intel Pentium,4.0,15.6,1024.0,169138
acer,AMD Ryzen 3,8.0,15.6,256.0,432585
lenovo,AMD Athlon,4.0,15.6,500.0,202917
acer,Intel Core i3,8.0,15.6,1024.0,233529
asus,AMD Ryzen 7,16.0,15.6,512.0,899990
acer,Intel Pentium,8.0,15.6,256.0,187336
lenovo,Intel Core i9,32.0,16.0,1024.0,1399790
asus,Intel Core i5,8.0,17.3,512.0,535945
lenovo,Intel Core i3,8.0,15.6,1000.0,239999
lenovo,Intel Pentium,4.0,15.6,256.0,259987
lenovo,Intel Pentium,8.0,15.6,256.0,219900
lenovo,Intel Pentium,4.0,15.6,1000.0,218990
acer,Intel Core i5,8.0,15.6,240.0,379997
hp,AMD Ryzen 5,8.0,15.6,256.0,419989
lenovo,Intel Core i7,16.0,16.0,512.0,846211
asus,Intel Core i5,16.0,15.6,512.0,448438
lenovo,Intel Core i3,4.0,15.6,256.0,209999
lenovo,AMD Ryzen 5,8.0,15.6,512.0,499990
lenovo,Intel Pentium,4.0,15.6,1000.0,207500
lenovo,Intel Celeron,4.0,15.6,1000.0,299000
asus,Intel Core i5,16.0,15.6,512.0,449992
asus,Intel Core i5,16.0,14.0,512.0,599990
asus,Intel Celeron,4.0,14.0,128.0,259990
lenovo,Intel Celeron,8.0,15.6,256.0,257079
lenovo,AMD Ryzen 7,16.0,17.3,512.0,699990
lenovo,Intel Core i5,8.0,15.6,512.0,299988
asus,AMD Ryzen 5,8.0,14.0,512.0,499990
dell,AMD Ryzen 3,8.0,15.6,256.0,399990
lenovo,Intel Celeron,4.0,15.6,256.0,163367
acer,Intel Core i5,16.0,15.6,512.0,453155
lenovo,AMD Ryzen 3,8.0,14.0,512.0,190000
hp,Intel Celeron,8.0,15.6,256.0,209990
hp,AMD Ryzen 3,4.0,15.6,256.0,299990
dell,AMD Ryzen 3,8.0,15.6,256.0,297990
lenovo,AMD Ryzen 5,16.0,16.0,1000.0,884995
lenovo,AMD Ryzen 5,8.0,15.6,512.0,439999
lenovo,AMD Ryzen 5,16.0,15.6,512.0,547960
asus,,8.0,15.6,512.0,409990
msi,AMD Ryzen 5,8.0,15.6,512.0,681670
hp,Intel Core i7,8.0,15.6,256.0,499990
msi,Intel Core i5,8.0,15.6,512.0,534070
asus,Intel Core i5,8.0,14.0,512.0,329999
dell,AMD Ryzen 3,8.0,15.6,256.0,399990
dell,Intel Core i5,8.0,15.6,512.0,495000
dell,Intel Core i3,8.0,15.6,255.0,384195
asus,Intel Core i3,8.0,14.0,512.0,479990
hp,AMD Ryzen 7,16.0,13.3,512.0,950000
apple,Apple M1,16.0,14.2,512.0,1037533
dell,AMD Ryzen 5,8.0,15.6,256.0,585630
acer,Intel Core i3,8.0,15.6,256.0,250000
leap,Intel Pentium,4.0,11.6,128.0,224990
acer,Intel Core i3,8.0,15.6,256.0,250000
hp,Intel Core i5,8.0,15.6,256.0,379000
apple,Apple M1,16.0,16.0,1000.0,1346998
lenovo,Intel Core i3,8.0,15.6,240.0,249990
asus,Intel Core i5,16.0,15.6,512.0,585590
acer,Intel Core i3,8.0,14.0,256.0,329990
acer,Intel Celeron,4.0,15.6,256.0,209000
apple,Apple M1,16.0,14.2,1000.0,1073978
acer,Intel Core i5,8.0,15.6,512.0,439990
lenovo,Intel Celeron,4.0,15.6,1024.0,173490
asus,AMD Ryzen 7,8.0,15.6,512.0,699890
asus,AMD Ryzen 7,8.0,15.6,512.0,648385
asus,Intel Core i7,16.0,14.0,512.0,404999
acer,AMD Ryzen 3,4.0,15.6,256.0,256399
hp,AMD Ryzen 3,8.0,15.6,256.0,409998
lenovo,Intel Celeron,4.0,15.6,500.0,159980
acer,Intel Pentium,4.0,15.6,1000.0,176125
acer,Intel Core i5,8.0,15.6,511.0,485539
lenovo,Intel Core i3,8.0,15.6,256.0,197807
lenovo,Intel Core i3,4.0,15.6,256.0,399980
lenovo,Intel Core i3,4.0,15.6,128.0,234509
lenovo,AMD Ryzen 3,4.0,15.6,128.0,235094
acer,Intel Core i5,8.0,15.6,512.0,467990
lenovo,Intel Core i5,8.0,15.6,512.0,467990
asus,Intel Core i5,8.0,15.6,512.0,447965
asus,Intel Core i5,16.0,15.6,512.0,587790
hp,AMD Ryzen 7,8.0,15.6,512.0,477910
lenovo,Intel Core i5,8.0,15.6,1000.0,319999
asus,Intel Core i3,4.0,14.0,512.0,449990
asus,Intel Celeron,4.0,14.0,256.0,259990
asus,Intel Core i3,4.0,14.0,256.0,261550
lenovo,Intel Core i3,8.0,15.6,1000.0,238999
lenovo,AMD Ryzen 5,8.0,15.6,512.0,445000
lenovo,Intel Core i5,8.0,15.6,512.0,234990
asus,Intel Core i5,16.0,15.6,512.0,455000
apple,Apple M1,16.0,14.2,1024.0,1156000
acer,Intel Core i3,8.0,14.0,256.0,329990
apple,Apple M1,32.0,16.0,1024.0,1672400
apple,Apple M1,32.0,16.0,1024.0,1665000
acer,Intel Core i3,8.0,15.6,512.0,213137
hp,AMD Ryzen 3,8.0,15.6,256.0,289980
lenovo,Intel Core i5,8.0,15.6,256.0,299990
dell,Intel Core i3,8.0,15.6,256.0,394650
asus,Intel Core i5,16.0,15.6,512.0,458112
asus,Intel Core i5,16.0,15.6,512.0,599990
noutbuk,Intel Celeron,8.0,15.6,256.0,227790
noutbuk,AMD Athlon,8.0,15.6,256.0,247990
hp,Intel Core i5,8.0,15.6,256.0,309990
lenovo,Intel Core i7,16.0,16.0,512.0,844995
apple,Apple M1,16.0,14.2,512.0,1716989
apple,Apple M1,16.0,14.2,512.0,1590989
asus,Intel Core i5,8.0,15.6,256.0,399990
hp,Intel Core i3,8.0,14.0,256.0,299990
lenovo,AMD Ryzen 3,4.0,15.6,256.0,299990
hp,Intel Celeron,8.0,14.0,256.0,206348
acer,Intel Core i3,4.0,14.0,256.0,264897
asus,Intel Core i5,16.0,14.0,512.0,599990
asus,Intel Core i5,8.0,15.6,512.0,299980
lenovo,Intel Core i3,4.0,15.0,1000.0,229990
asus,AMD Ryzen 7,8.0,15.6,512.0,596990
asus,Intel Core i3,8.0,15.6,256.0,394980
acer,,8.0,15.6,512.0,264990
acer,Intel Celeron,8.0,15.6,256.0,219898
dream,Intel Core i5,8.0,15.6,500.0,504483
asus,Intel Celeron,4.0,14.0,128.0,349990
lenovo,Intel Core i3,8.0,15.6,512.0,285326
dream,Intel Core i5,8.0,15.6,500.0,452035
acer,Intel Core i3,4.0,15.6,256.0,240870
acer,Intel Core i5,4.0,15.6,256.0,454490
asus,Intel Celeron,4.0,15.6,256.0,175600
hp,Intel Core i7,16.0,15.6,512.0,1499990
lenovo,Intel Core i5,8.0,14.0,512.0,349990
asus,Intel Core i5,16.0,15.6,512.0,459990
lenovo,AMD Ryzen 3,8.0,14.0,256.0,269990
asus,Intel Core i3,8.0,15.6,256.0,349990
lenovo,Intel Core i3,4.0,14.0,1000.0,147307
asus,Intel Core i5,8.0,14.0,512.0,599990
acer,Intel Core i5,8.0,15.6,512.0,470000
acer,AMD Athlon,4.0,15.6,256.0,225110
acer,Intel Celeron,4.0,15.6,256.0,162474
msi,Intel Core i5,16.0,15.6,512.0,549990
msi,Intel Core i5,16.0,14.0,512.0,797890
msi,Intel Core i7,16.0,15.6,512.0,649990
hp,AMD Ryzen 3,8.0,15.6,512.0,349990
msi,Intel Core i5,8.0,15.6,256.0,519800
msi,AMD Ryzen 7,8.0,14.0,512.0,399900
msi,Intel Core i5,16.0,15.6,512.0,539700
asus,Intel Core i7,16.0,16.0,512.0,699920
lenovo,Intel Core i3,8.0,15.6,256.0,322828
lenovo,Intel Core i3,8.0,15.6,256.0,249990
lenovo,Intel Core i5,16.0,15.6,512.0,499990
lenovo,AMD Ryzen 7,16.0,15.6,512.0,999990
lenovo,Intel Core i3,4.0,15.6,256.0,249990
hp,AMD Ryzen 3,8.0,15.6,256.0,259990
lenovo,Intel Core i5,4.0,15.6,256.0,299990
acer,Intel Core i5,4.0,15.6,1024.0,285710
hp,Intel Core i3,8.0,14.0,256.0,399990
asus,Intel Core i5,8.0,15.6,512.0,439990
asus,Intel Core i5,16.0,14.0,512.0,599990
asus,Intel Core i5,8.0,14.0,256.0,554345
asus,Intel Core i5,8.0,14.0,256.0,499990
hp,Intel Core i5,8.0,16.1,512.0,589990
lenovo,Intel Core i3,8.0,15.6,512.0,339990
lenovo,Intel Core i3,4.0,15.6,1000.0,259990
hp,AMD Ryzen 5,8.0,16.1,512.0,515570
hp,AMD Ryzen 5,8.0,16.1,512.0,409999
acer,Intel Core i5,8.0,17.3,512.0,799990
hp,AMD Ryzen 5,8.0,16.1,512.0,409999
lenovo,Intel Core i3,8.0,15.6,1000.0,249989
hp,Intel Core i5,8.0,15.6,512.0,362590
asus,Intel Core i3,8.0,15.6,256.0,349990
asus,Intel Celeron,4.0,14.0,128.0,259990
apple,Apple M1,32.0,14.0,512.0,1650000
asus,Intel Core i5,16.0,15.6,512.0,444175
msi,AMD Ryzen 7,16.0,15.6,512.0,869990
asus,Intel Core i5,8.0,15.6,512.0,459980
msi,AMD Ryzen 7,16.0,15.6,512.0,793980
msi,AMD Ryzen 5,8.0,15.6,512.0,522700
gigabyte,Intel Core i7,16.0,14.0,512.0,470990
asus,Intel Core i7,16.0,16.0,512.0,659990
asus,AMD Ryzen 5,8.0,15.6,256.0,464490
asus,Intel Core i5,8.0,14.0,512.0,599990
lenovo,AMD Athlon,4.0,15.6,128.0,198761
asus,Intel Core i3,4.0,14.0,509.0,269898
asus,Intel Core i7,16.0,15.6,512.0,652450
asus,,8.0,15.6,256.0,239988
lenovo,AMD Ryzen 3,8.0,15.6,256.0,249990
lenovo,Intel Core i5,8.0,14.0,256.0,327990
hp,Intel Core i7,8.0,15.6,512.0,499990
dell,Intel Core i5,16.0,15.6,512.0,430000
dell,Intel Core i7,8.0,15.6,512.0,424000
asus,AMD Ryzen 7,16.0,15.6,512.0,899999
asus,Intel Core i5,8.0,15.6,256.0,279890
dell,Intel Core i7,8.0,15.6,512.0,555000
hp,Intel Core i5,8.0,14.0,256.0,265633
lenovo,AMD Ryzen 5,8.0,15.6,1024.0,299990
acer,Intel Core i5,8.0,15.6,1000.0,399990
acer,Intel Core i3,8.0,15.4,256.0,424990
asus,Intel Pentium,4.0,15.6,500.0,229990
acer,,4.0,15.6,256.0,299990
acer,Intel Core i3,4.0,15.6,1000.0,237828
acer,Intel Core i3,4.0,15.6,256.0,339990
lenovo,Intel Celeron,4.0,15.6,1000.0,279989
lenovo,AMD Ryzen 3,8.0,15.6,1000.0,286897
lenovo,Intel Core i3,8.0,15.6,1000.0,239999
lenovo,Intel Core i5,8.0,15.6,512.0,299988
asus,Intel Core i3,8.0,15.6,1000.0,309990
asus,Intel Core i5,8.0,14.0,512.0,706990
asus,Intel Celeron,4.0,14.0,256.0,259990
acer,Intel Core i3,4.0,15.0,1000.0,403990
lenovo,Intel Core i5,8.0,14.0,512.0,565587
lenovo,Intel Core i5,16.0,15.6,512.0,610790
hp,AMD Ryzen 3,8.0,15.6,256.0,363905
hp,Intel Core i5,8.0,13.3,512.0,499570
hp,Intel Core i5,8.0,14.0,512.0,489890
huawei,Intel Core i5,8.0,15.6,512.0,355000
huawei,Intel Core i5,8.0,15.6,256.0,358995
hp,Intel Core i5,16.0,14.0,512.0,549990
apple,Apple M1,32.0,14.0,512.0,1650000
apple,Apple M1,32.0,14.2,512.0,1650000
lenovo,AMD Ryzen 3,4.0,15.6,1000.0,169900
asus,Intel Core i5,16.0,14.0,512.0,549990
asus,Intel Core i3,8.0,14.0,256.0,316790
lenovo,AMD Ryzen 3,8.0,15.6,256.0,229990
asus,Intel Core i5,16.0,17.3,512.0,659990
lenovo,Intel Core i3,4.0,15.6,256.0,249988
hp,AMD Ryzen 5,16.0,16.1,512.0,599790
asus,Intel Pentium,8.0,15.6,256.0,299990
lenovo,AMD Ryzen 7,16.0,15.6,512.0,657990
asus,Intel Core i5,8.0,15.6,512.0,459990
lenovo,AMD Ryzen 3,8.0,15.6,512.0,282997
lenovo,Intel Core i5,8.0,15.6,256.0,399970
hp,AMD Ryzen 5,8.0,16.1,512.0,699980
lenovo,AMD Ryzen 5,8.0,15.6,512.0,599989
hp,Intel Core i7,16.0,14.0,512.0,599990
asus,Intel Core i5,8.0,15.6,512.0,268610
lenovo,AMD Ryzen 5,8.0,15.6,256.0,299899
lenovo,AMD Ryzen 7,8.0,15.6,512.0,229800
